,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,8948,1052,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,0.0
1,10000,8844,1156,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,1.0
2,10000,8739,1261,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,2.0
3,10000,8550,1450,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,3.0
4,10000,8321,1679,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,4.0
5,10000,8115,1885,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,5.0
6,9999,7865,2134,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,6.0
7,9996,7562,2434,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,7.0
8,9991,7253,2738,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,8.0
9,9988,6921,3067,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,9.0
10,9976,6493,3483,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,10.0
11,9962,6051,3911,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,11.0
12,9934,5640,4294,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,12.0
13,9915,5190,4725,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,13.0
14,9892,4765,5127,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,14.0
15,9860,4322,5538,0,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,15.0
16,9834,3862,5971,1,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,16.0
17,9797,3424,6367,6,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,17.0
18,9755,3038,6706,11,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,18.0
19,9708,2657,7026,25,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,19.0
20,9651,2291,7302,58,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,20.0
21,9585,1981,7508,96,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,21.0
22,9535,1669,7705,161,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,22.0
23,9474,1401,7829,244,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,23.0
24,9414,1168,7890,356,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,24.0
25,9355,969,7845,541,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,25.0
26,9284,775,7772,737,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,26.0
27,9209,619,7633,957,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,27.0
28,9136,509,7412,1215,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,28.0
29,9074,425,7152,1497,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,29.0
30,9020,344,6877,1799,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,30.0
31,8962,282,6574,2106,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,31.0
32,8908,236,6245,2427,10000.0,0.1,0.5,28.0,0.02,0.0,1.0,32.0
