,Total,Healthy,Sick,Immune,N,Initial_Outbreak,TRansmission_Rate,Recovery_Time,Mortality_Rate,Policy,Exp_#,Time
0,10000,8948,1052,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,0.0
1,10000,8881,1119,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,1.0
2,10000,8787,1213,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,2.0
3,10000,8684,1316,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,3.0
4,10000,8554,1446,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,4.0
5,10000,8423,1577,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,5.0
6,10000,8227,1773,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,6.0
7,9998,8015,1983,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,7.0
8,9995,7777,2218,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,8.0
9,9988,7530,2458,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,9.0
10,9982,7259,2723,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,10.0
11,9969,6967,3002,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,11.0
12,9955,6658,3297,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,12.0
13,9941,6359,3582,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,13.0
14,9922,6017,3905,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,14.0
15,9897,5639,4258,0,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,15.0
16,9871,5232,4638,1,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,16.0
17,9841,4874,4965,2,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,17.0
18,9545,4522,5017,6,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,18.0
19,9202,4182,5005,15,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,19.0
20,8915,3890,5002,23,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,20.0
21,8656,3614,5003,39,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,21.0
22,8448,3382,5001,65,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,22.0
23,8255,3160,5000,95,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,23.0
24,8058,2924,4999,135,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,24.0
25,7906,2714,5003,189,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,25.0
26,7765,2519,4996,250,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,26.0
27,7663,2340,5000,323,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,27.0
28,7547,2159,4999,389,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,28.0
29,7444,1983,4996,465,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,29.0
30,7357,1827,4979,551,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,30.0
31,7310,1706,4950,654,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,31.0
32,7271,1568,4931,772,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,32.0
33,7234,1447,4907,880,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,33.0
34,7180,1335,4843,1002,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,34.0
35,7137,1210,4816,1111,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,35.0
36,7105,1114,4742,1249,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,36.0
37,7064,1019,4684,1361,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,37.0
38,7037,928,4607,1502,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,38.0
39,6989,865,4455,1669,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,39.0
40,6947,801,4346,1800,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,40.0
41,6911,743,4194,1974,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,41.0
42,6879,695,4033,2151,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,42.0
43,6845,644,3871,2330,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,43.0
44,6802,593,3700,2509,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,44.0
45,6774,554,3527,2693,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,45.0
46,6737,525,3330,2882,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,46.0
47,6711,503,3147,3061,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,47.0
48,6679,478,2995,3206,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,48.0
49,6655,454,2823,3378,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,49.0
50,6635,432,2676,3527,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,50.0
51,6608,416,2537,3655,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,51.0
52,6588,393,2392,3803,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,52.0
53,6577,381,2283,3913,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,53.0
54,6550,370,2146,4034,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,54.0
55,6527,361,2017,4149,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,55.0
56,6506,352,1883,4271,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,56.0
57,6491,346,1763,4382,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,57.0
58,6477,340,1651,4486,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,58.0
59,6469,331,1567,4571,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,59.0
60,6452,324,1462,4666,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,60.0
61,6430,321,1355,4754,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,61.0
62,6420,319,1277,4824,10000.0,0.1,0.5,28.0,0.02,0.25,1.0,62.0
